threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.59,0.92,0.72,0.64
0.1,0.6,0.84,0.7,0.64
0.15,0.64,0.84,0.72,0.68
0.2,0.67,0.8,0.73,0.7
0.25,0.69,0.8,0.74,0.72
0.3,0.69,0.8,0.74,0.72
0.35,0.68,0.78,0.73,0.71
0.4,0.68,0.78,0.73,0.71
0.45,0.68,0.76,0.72,0.7
0.5,0.67,0.72,0.69,0.68
0.55,0.65,0.68,0.67,0.66
0.6,0.65,0.64,0.65,0.65
0.65,0.65,0.62,0.63,0.64
0.7,0.67,0.6,0.63,0.65
0.75,0.66,0.54,0.59,0.63
0.8,0.68,0.5,0.57,0.63
0.85,0.7,0.46,0.55,0.63
0.9,0.68,0.42,0.52,0.61
0.95,0.64,0.36,0.46,0.58
1.0,0.0,0.0,0.0,0.5
