threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.54,1.0,0.7,0.58
0.1,0.55,1.0,0.71,0.59
0.15,0.57,0.98,0.72,0.62
0.2,0.58,0.98,0.73,0.63
0.25,0.62,0.98,0.76,0.69
0.3,0.63,0.96,0.76,0.7
0.35,0.64,0.94,0.76,0.7
0.4,0.63,0.92,0.75,0.69
0.45,0.63,0.88,0.73,0.68
0.5,0.64,0.86,0.74,0.69
0.55,0.67,0.84,0.74,0.71
0.6,0.69,0.7,0.69,0.69
0.65,0.69,0.58,0.63,0.66
0.7,0.77,0.46,0.57,0.66
0.75,0.88,0.42,0.57,0.68
0.8,0.83,0.3,0.44,0.62
0.85,0.85,0.22,0.35,0.59
0.9,0.86,0.12,0.21,0.55
0.95,1.0,0.04,0.08,0.52
1.0,1.0,0.02,0.04,0.51
