threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.5,1.0,0.67,0.5
0.1,0.54,1.0,0.7,0.57
0.15,0.57,1.0,0.73,0.63
0.2,0.6,1.0,0.75,0.66
0.25,0.6,1.0,0.75,0.67
0.3,0.62,1.0,0.77,0.7
0.35,0.65,0.98,0.78,0.73
0.4,0.69,0.92,0.79,0.75
0.45,0.69,0.9,0.78,0.75
0.5,0.71,0.82,0.76,0.74
0.55,0.71,0.74,0.73,0.72
0.6,0.74,0.62,0.67,0.7
0.65,0.77,0.54,0.64,0.69
0.7,0.78,0.28,0.41,0.6
0.75,0.6,0.06,0.11,0.51
0.8,0.0,0.0,0.0,0.5
0.85,0.0,0.0,0.0,0.5
0.9,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
