threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.5,1.0,0.67,0.5
0.1,0.5,1.0,0.67,0.5
0.15,0.5,1.0,0.67,0.5
0.2,0.5,1.0,0.67,0.5
0.25,0.5,1.0,0.67,0.5
0.3,0.53,1.0,0.69,0.55
0.35,0.6,1.0,0.75,0.67
0.4,0.62,1.0,0.76,0.69
0.45,0.66,0.96,0.78,0.73
0.5,0.69,0.86,0.77,0.74
0.55,0.76,0.68,0.72,0.73
0.6,0.78,0.36,0.49,0.63
0.65,1.0,0.04,0.08,0.52
0.7,0.0,0.0,0.0,0.5
0.75,0.0,0.0,0.0,0.5
0.8,0.0,0.0,0.0,0.5
0.85,0.0,0.0,0.0,0.5
0.9,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
