threshold,precision,recall,f1,accuracy
0.0,0.5,1.0,0.67,0.5
0.05,0.52,1.0,0.68,0.53
0.1,0.57,1.0,0.73,0.63
0.15,0.6,1.0,0.75,0.67
0.2,0.62,1.0,0.76,0.69
0.25,0.64,0.98,0.77,0.71
0.3,0.66,0.96,0.78,0.73
0.35,0.68,0.96,0.79,0.75
0.4,0.72,0.96,0.82,0.79
0.45,0.7,0.84,0.76,0.74
0.5,0.69,0.76,0.72,0.71
0.55,0.69,0.68,0.69,0.69
0.6,0.79,0.66,0.72,0.74
0.65,0.79,0.6,0.68,0.72
0.7,0.79,0.54,0.64,0.7
0.75,0.82,0.36,0.5,0.64
0.8,0.77,0.2,0.32,0.57
0.85,0.83,0.1,0.18,0.54
0.9,1.0,0.04,0.08,0.52
0.95,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.5
